text,label,word_count,sentence_count,avg_sentence_length,avg_word_length,lexical_diversity,punctuation_ratio
I went to the market this morning and bought some fresh vegetables.,0,12.0,1.0,12.0,4.583333333333333,1.0,0.014925373134328358
Writing by humans often contains personal experiences and informal expressions.,0,10.0,1.0,10.0,6.9,1.0,0.012658227848101266
Yesterday I met my friends and we talked about our plans for the weekend.,0,14.0,1.0,14.0,4.214285714285714,1.0,0.0136986301369863
People usually express emotions and opinions in different ways.,0,9.0,1.0,9.0,6.0,1.0,0.015873015873015872
Human writing can be inconsistent and creative.,0,7.0,1.0,7.0,5.714285714285714,1.0,0.02127659574468085
Artificial intelligence systems generate structured and coherent text outputs.,1,9.0,1.0,9.0,7.666666666666667,1.0,0.01282051282051282
The model produces responses based on probabilistic language patterns.,1,9.0,1.0,9.0,6.777777777777778,1.0,0.014285714285714285
Machine learning algorithms analyze large datasets to predict outcomes.,1,9.0,1.0,9.0,6.888888888888889,1.0,0.014084507042253521
Automated text generation follows learned linguistic rules and structures.,1,9.0,1.0,9.0,7.222222222222222,1.0,0.013513513513513514
Neural networks optimize parameters to improve language modeling.,1,8.0,1.0,8.0,7.125,1.0,0.015384615384615385
