id,text,label,word_count,char_count,avg_word_length,punctuation_density
1,It always seems impossible until it's done.,human,7,43,5.285714286,0.142857143
2,She finished the challenging crossword puzzle.,ai,6,46,6.833333333,0.166666667
3,"You can't use up creativity. The more you use, the more you have.",human,13,65,4.076923077,0.307692308
4,The journey of a thousand miles begins with a single step.,human,11,58,4.363636364,0.090909091
5,"Life is short, and it is up to you to make it sweet.",human,13,52,3.076923077,0.153846154
6,In three words I can sum up everything I’ve learned about life: it goes on.,human,15,75,4.066666667,0.133333333
7,I love the smell of napalm in the morning.,human,9,42,3.777777778,0.111111111
8,"It's not what happens to you, but how you react to it that matters.",human,14,67,3.857142857,0.214285714
9,The lamp flickered for a moment before stabilizing.,ai,8,51,5.5,0.125
10,Happiness is not something ready made. It comes from your own actions.,human,12,70,4.916666667,0.166666667
11,The purpose of our lives is to be happy.,human,9,40,3.555555556,0.111111111
12,"Love all, trust a few, do wrong to none.",human,9,40,3.555555556,0.333333333
13,I carefully arranged the books on the shelf by size.,ai,10,52,4.3,0.1
14,You miss 100% of the shots you don't take.,human,9,42,3.777777778,0.333333333
15,A neural interface allowed a user to control a robotic prosthetic with their thoughts.,ai,14,86,5.214285714,0.071428571
16,The secret of getting ahead is getting started.,human,8,47,5,0.125
17,The power of imagination makes us infinite.,human,7,43,5.285714286,0.142857143
18,Sometimes you have to create your own sunshine.,human,8,47,5,0.125
19,The biggest adventure you can take is to live the life of your dreams.,human,14,70,4.071428571,0.071428571
20,The automated system managed a complex network of smart devices.,ai,10,64,5.5,0.1
21,He typed a quick message and hit send.,ai,8,38,3.875,0.125
22,"Happiness is not by chance, but by choice.",human,8,42,4.375,0.25
23,Be yourself; everyone else is already taken.,human,7,44,5.428571429,0.285714286
24,"If you don't stop that, I'm going to lose my mind.",human,11,50,3.636363636,0.363636364
25,The first rule of Fight Club is: you do not talk about Fight Club.,human,14,66,3.785714286,0.142857143
26,He wrote a detailed report on the financial markets.,ai,9,52,4.888888889,0.111111111
27,"Don't go through life, grow through life.",human,7,41,5,0.428571429
28,The thermostat learned their daily patterns.,ai,6,44,6.5,0.166666667
29,That’s another fine mess you’ve gotten me into!,human,8,47,5,0.125
30,Keep calm and carry on.,human,5,23,3.8,0.2
31,"Strive not to be a success, but rather to be of value.",human,12,54,3.583333333,0.166666667
32,I can't go back to yesterday because I was a different person then.,human,13,67,4.230769231,0.153846154
33,A chatbot handled most of the customer service inquiries.,ai,9,57,5.444444444,0.111111111
34,"The past can hurt. But the way I see it, you can either run from it or learn from it.",human,20,85,3.3,0.15
35,"Do what you can, with what you have, where you are.",human,11,51,3.727272727,0.272727273
36,The baker kneaded dough early in the pre-dawn darkness.,ai,9,55,5.222222222,0.222222222
